metric,value,step
agent0/rewards/,-1.0254268646240234,1688.0
agent0/rewards/,-0.6807312369346619,1692.0
agent0/rewards/,-0.9700986742973328,1696.0
agent0/rewards/,-0.8801347017288208,1700.0
agent0/rewards/,-1.2190808057785034,1704.0
agent0/rewards/,-0.698079526424408,1708.0
agent0/rewards/,-1.0101513862609863,1712.0
agent0/rewards/,-0.8210444450378418,1716.0
agent0/rewards/,-0.7954166531562805,1720.0
agent0/rewards/,-0.9542471766471863,1724.0
agent0/rewards/,-0.803568422794342,1728.0
agent0/rewards/,-0.6802168488502502,1732.0
agent0/rewards/,-1.0003548860549927,1736.0
agent0/rewards/,-0.8745715022087097,1740.0
agent0/rewards/,-0.778733491897583,1744.0
agent0/rewards/,-1.0313057899475098,1748.0
agent0/rewards/,-0.8790143132209778,1752.0
agent0/rewards/,-0.8836732506752014,1756.0
agent0/rewards/,-0.8379780054092407,1760.0
agent0/rewards/,-1.0644477605819702,1764.0
agent0/rewards/,-0.8020193576812744,1768.0
agent0/rewards/,-0.971208930015564,1772.0
agent0/rewards/,-0.790688157081604,1776.0
agent0/rewards/,-0.9158869981765747,1780.0
agent0/rewards/,-0.9124732613563538,1784.0
agent0/rewards/,-0.8064149022102356,1788.0
agent0/rewards/,-0.7815960645675659,1792.0
agent0/rewards/,-0.7856472730636597,1796.0
agent0/rewards/,-0.8193419575691223,1800.0
agent0/rewards/,-0.8285139799118042,1804.0
agent0/rewards/,-1.060375452041626,1808.0
agent0/rewards/,-1.0309126377105713,1812.0
agent0/rewards/,-0.9775756001472473,1816.0
agent0/rewards/,-0.779355525970459,1820.0
agent0/rewards/,-1.0273621082305908,1824.0
agent0/rewards/,-0.925748348236084,1828.0
agent0/rewards/,-0.9694668054580688,1832.0
agent0/rewards/,-0.9520344734191895,1836.0
agent0/rewards/,-0.9928877949714661,1840.0
agent0/rewards/,-1.074811577796936,1844.0
agent0/rewards/,-0.9656455516815186,1848.0
agent0/rewards/,-0.96372389793396,1852.0
agent0/rewards/,-0.7688531875610352,1856.0
agent0/rewards/,-0.8992716073989868,1860.0
agent0/rewards/,-0.9373850226402283,1864.0
agent0/rewards/,-0.8648971915245056,1868.0
agent0/rewards/,-0.8617135882377625,1872.0
agent0/rewards/,-0.9276528358459473,1876.0
agent0/rewards/,-0.9101569056510925,1880.0
agent0/rewards/,-0.9002479910850525,1884.0
agent0/rewards/,-0.4825041592121124,1888.0
agent0/rewards/,-0.7535902261734009,1892.0
agent0/rewards/,-0.7340463995933533,1896.0
agent0/rewards/,-0.9488425254821777,1900.0
agent0/rewards/,-0.8465054035186768,1904.0
agent0/rewards/,-1.0362814664840698,1908.0
agent0/rewards/,-0.8537904024124146,1912.0
agent0/rewards/,-0.6135662198066711,1916.0
agent0/rewards/,-0.9230584502220154,1920.0
agent0/rewards/,-1.027008295059204,1924.0
agent0/rewards/,-1.0714595317840576,1928.0
agent0/rewards/,-0.9610366821289062,1932.0
agent0/rewards/,-1.2301524877548218,1936.0
agent0/rewards/,-0.8011459112167358,1940.0
agent0/rewards/,-0.8510419130325317,1944.0
agent0/rewards/,-0.5129355788230896,1948.0
agent0/rewards/,-0.8644945621490479,1952.0
agent0/rewards/,-0.8892001509666443,1956.0
agent0/rewards/,-1.1104810237884521,1960.0
agent0/rewards/,-0.7870036959648132,1964.0
agent0/rewards/,-0.7529786229133606,1968.0
agent0/rewards/,-0.8616976141929626,1972.0
agent0/rewards/,-0.8035048246383667,1976.0
agent0/rewards/,-1.013642430305481,1980.0
agent0/rewards/,-1.0092072486877441,1984.0
agent0/rewards/,-0.93845534324646,1988.0
agent0/rewards/,-0.8028088808059692,1992.0
agent0/rewards/,-0.95195472240448,1996.0
agent0/rewards/,-0.8320897817611694,2000.0
agent0/rewards/,-1.234696626663208,2004.0
agent0/rewards/,-1.104690670967102,2008.0
agent0/rewards/,-1.1911829710006714,2012.0
agent0/rewards/,-0.7115033268928528,2016.0
